Requirement,Conformance,Actor,Conditionality,sub-requirements,URL,Req Set,Id,Sub-Requirement(s)
"""Publication of this data through a standard FHIR-based API will enable third parties to develop applications through which consumers and providers can query the participants in a payer's network that may provide services that address their health care needs.""",SHALL,Health Plan API Actor,False,NONE,Introduction section,,,
"""The IG defines the API that exposes a payer's provider network (including pharmacy locations where appropriate) for access by a consumer or provider application. This is a query only API (GET) and does not support PUT or POST.""",SHALL,Health Plan API Actor,False,NONE,"Introduction section, diagram description",,,
"""This implementation guide assumes that the directory endpoint is known to the client.""",SHALL,Application Actor,False,NONE,Disclaimers and Assumptions section,,,
"""A conformant Plan-Net service SHALL NOT require a directory mobile application to send consumer identifying information in order to query content.""",SHALL NOT,Server,False,NONE,Privacy Considerations section,,,
"""A directory mobile application SHALL NOT send consumer identifiable information when querying a Plan-Net service.""",SHALL NOT,Client,False,NONE,Privacy Considerations section,,,
"""Health Plan API actors SHALL be capable of populating all Must Support data elements as part of the query results.""",SHALL,Health Plan API,False,NONE,Must Support section,,,
"""In situations where information on a particular Must Support data element is not present and the minimum cardinality is 0 , the Health Plan API actors SHALL NOT include the data elements in the resource instance returned as part of the query results.""",SHALL NOT,Health Plan API,True,NONE,Must Support section,,,
"""In situations where information on a particular data element is not present and the minimum cardinality is >0 SHALL send the reason for the missing information using values (such as nullFlavors) from the value set where they exist or use the dataAbsentReason extension.""",SHALL,Health Plan API,True,NONE,Must Support section,,,
"""Application actors SHALL be capable of processing resource instances containing the Must Support data elements without generating an error or causing the application to fail.""",SHALL,Application,False,NONE,Must Support section,,,
"""Application actors SHOULD be capable of displaying the data elements for human use or storing the information for other purposes.""",SHOULD,Application,False,NONE,Must Support section,,,
"""When querying Health Plan API actors, Application actors SHALL interpret missing Must Support data elements within resource instances as data not present in the Health Plan API actors system.""",SHALL,Application,False,NONE,Must Support section,,,
"""Consumer App actors SHALL be able to process resource instances containing Must Support data elements asserting missing information.""",SHALL,Consumer App,False,NONE,Must Support section,,,
"""The Plan-Net Server SHALL: Implement the RESTful behavior according to the FHIR specification.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
"""The Plan-Net Server SHALL: Return the following response classes: (Status 400): invalid parameter, (Status 401/4xx): unauthorized request, (Status 403): insufficient scope, (Status 404): unknown resource, (Status 410): deleted resource.""",SHALL,Plan-Net Server,False,NONE,FHIR RESTful Capabilities section,,,
